Arquivo,Real_mm2,IA_mm2,Erro_Abs_mm2,Erro_Perc,N_Colonias,Px_Escala,Fator_Conv
d3_t3_100uL_r1,72.48,76.93460815377134,4.454608153771332,6.1459825521127645,1,1291476.0,0.001239
d3_t3_100uL_r2,55.89,70.96646491388135,15.076464913881352,26.97524586487986,1,1293332.0,0.001237
d3_t3_100uL_r3,61.98,59.73903819363265,2.240961806367345,3.6156208557072365,1,1293867.5,0.001237
d3_t3_100uL_r4,83.8,75.47241353134004,8.327586468659959,9.937454019880619,1,1297565.5,0.001233
d3_t3_100uL_r5,61.46,68.34401118143614,6.8840111814361435,11.200799188799452,1,1291068.5,0.001239
d3_t3_20uL_r1,53.31,64.988128821484,11.678128821483995,21.906075448291116,1,1289257.0,0.001241
d3_t3_20uL_r2,90.9,93.43975035274256,2.5397503527425584,2.794004788495664,1,1312572.0,0.001219
d3_t3_20uL_r3,49.63,142.6725024279303,93.04250242793032,187.47229987493515,2,1298431.0,0.001232
d3_t3_20uL_r4,39.69,49.072277395364836,9.382277395364838,23.638894924073668,1,1296373.5,0.001234
d3_t3_20uL_r5,377.09,383.81336438793875,6.723364387938773,1.7829601389426326,1,1298787.5,0.001232
d3_t3_40uL_r1,55.84,61.34593720918842,5.505937209188417,9.860202738517938,1,1306688.0,0.001224
d3_t3_40uL_r2,67.08,71.37147379924049,4.291473799240492,6.397545914192744,1,1294399.5,0.001236
d3_t3_40uL_r3,53.93,60.92698361414567,6.99698361414567,12.974195464761115,1,1287574.0,0.001243
d3_t3_40uL_r4,70.86,71.5718495625904,0.7118495625904018,1.0045858913214814,1,1295582.0,0.001235
d3_t3_40uL_r5,56.2,59.7793391011376,3.579339101137599,6.368930784942346,1,1291710.5,0.001239
d3_t3_60uL_r1,56.02,61.48000077931693,5.460000779316928,9.74652049146185,1,1283175.0,0.001247
d3_t3_60uL_r2,53.93,64.43204189434154,10.502041894341538,19.473469116153417,1,1308243.5,0.001223
d3_t3_60uL_r3,62.8,64.79689518518822,1.9968951851882224,3.179769403165959,1,1281493.5,0.001249
d3_t3_60uL_r4,59.16,58.22770053451647,0.9322994654835242,1.5758949720816837,1,1321007.0,0.001211
d3_t3_60uL_r5,37.09,44.745334225017785,7.655334225017782,20.639887368610896,1,1292684.5,0.001238
d3_t3_80uL_r1,62.62,70.58757668282347,7.96757668282347,12.723693201570537,1,1303991.5,0.001227
d3_t3_80uL_r2,63.75,65.17668897851529,1.426688978515287,2.2379434957102537,1,1313353.0,0.001218
d3_t3_80uL_r3,57.23,60.09586629917143,2.8658662991714365,5.007629388732197,1,1289087.0,0.001241
d3_t3_80uL_r4,67.97,69.44018565074452,1.4701856507445257,2.162991982852031,1,1292750.0,0.001238
d3_t3_80uL_r5,65.09,67.94934191406892,2.8593419140689207,4.392905076154433,1,1285204.5,0.001245
d3_t4_100uL_r1,720.74,710.1128802039799,10.62711979602011,1.4744734295335504,1,1303461.5,0.001228
d3_t4_100uL_r2,602.1,620.5468639756109,18.44686397561088,3.0637541896048632,1,1289754.0,0.001241
d3_t4_100uL_r3,736.34,742.2440941859304,5.904094185930376,0.8018163057731993,1,1302530.0,0.001228
d3_t4_100uL_r4,590.64,577.8418959882564,12.79810401174359,2.1668197229689135,1,1304881.5,0.001226
d3_t4_100uL_r5,544.38,532.7675960537363,11.612403946263726,2.1331430152216697,1,1300014.5,0.001231
d3_t4_100uL_r6,448.02,455.10343178794966,7.083431787949678,1.5810525842483991,1,1290391.5,0.00124
d3_t4_20uL_r1,881.12,883.2277688010478,2.1077688010477686,0.23921472683037143,1,1286969.5,0.001243
d3_t4_20uL_r2,1116.42,1120.9818527836715,4.561852783671384,0.4086143909703681,1,1298932.0,0.001232
d3_t4_20uL_r3,643.4,639.8635256731724,3.5364743268276015,0.5496540762865405,1,1273206.5,0.001257
d3_t4_20uL_r4,989.24,970.5269097279174,18.71309027208258,1.891663324580747,1,1295544.5,0.001235
d3_t4_20uL_r5,667.45,671.9278931947201,4.477893194720082,0.6708956767877866,1,1298962.0,0.001232
d3_t4_40uL_r1,733.9,737.4738459093678,3.573845909367833,0.48696633183919236,1,1302616.5,0.001228
d3_t4_40uL_r2,772.82,784.4623229461756,11.642322946175568,1.5064727810066467,1,1301687.5,0.001229
d3_t4_40uL_r3,922.64,918.6472360620014,3.992763937998575,0.43275426363463265,1,1310132.5,0.001221
d3_t4_40uL_r4,426.41,449.808414434951,23.39841443495095,5.487304339708484,1,1304639.0,0.001226
